roi,subj,input,nzmean,nzvoxels,nzsigma
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_inverse-yes_calc-zscore_scale-none_tat2,-0.000303,311,0.000653
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-median_censor-fd0.3_inverse-yes_calc-default_scale-none_tat2,0.935986,311,0.174262
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_inverse-yes_calc-novol_scale-1000nvox_tat2,0.000009,311,0.000002
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_inverse-yes_calc-zscore_scale-none_tat2,-0.000239,311,0.000653
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_inverse-yes_calc-log_scale-none_tat2,0.080647,311,0.164817
LeftCaudate,10195_20160317,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_inverse-yes_calc-default_scale-none_tat2,1.593641,311,0.295502
LeftCaudate,10195_20160317,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_inverse-yes_calc-default_scale-1000nvox_tat2,0.003910,311,0.000729
LeftCaudate,10195_20170824,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,0.542220,311,0.688211
LeftCaudate,10195_20170824,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-default_scale-none_tat2,1.135513,311,0.171670
LeftCaudate,10195_20170824,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,656.818239,311,99.358756
LeftCaudate,10195_20170824,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-log_scale-none_tat2,-0.114299,311,0.163642
LeftCaudate,10195_20170824,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,-0.136889,311,0.163553
LeftCaudate,10195_20170824,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,0.543127,311,0.688024
LeftCaudate,10195_20170824,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-log_scale-none_tat2,-0.114370,311,0.163553
LeftCaudate,10195_20170824,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,656.832594,311,99.303840
LeftCaudate,10195_20170824,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.007886,311,0.001192
LeftCaudate,10195_20170824,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,1.161375,311,0.175580
LeftCaudate,10195_20170824,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,656.832594,311,99.303840
LeftCaudate,10195_20170824,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,656.818239,311,99.358756
LeftCaudate,10195_20170824,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,-0.136811,311,0.163625
LeftCaudate,10195_20170824,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-none_tat2,1.161133,311,0.175634
LeftCaudate,10195_20170824,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,0.632374,311,0.688024
LeftCaudate,10195_20170824,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-zscore_scale-none_tat2,0.631440,311,0.688234
LeftCaudate,10195_20170824,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-default_scale-none_tat2,1.135289,311,0.171748
LeftCaudate,10195_20170824,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-default_scale-1000nvox_tat2,0.007884,311,0.001193
LeftCaudate,10195_20190321,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,0.446965,311,0.664041
LeftCaudate,10195_20190321,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-default_scale-none_tat2,1.127548,311,0.189505
LeftCaudate,10195_20190321,_ref-wholebrain_time-median_vol-mean_censor-fd0.3_calc-novol_scale-none_tat2,740.142480,311,124.407727
LeftCaudate,10195_20190321,_ref-wholebrain_time-median_vol-median_censor-fd0.3_calc-log_scale-none_tat2,-0.104809,311,0.179383
LeftCaudate,10195_20190321,_ref-wholebrain_time-mean_vol-mean_censor-fd0.3_calc-log_scale-none_tat2,-0.119557,311,0.179410
LeftCaudate,10195_20190321,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-zscore_scale-none_tat2,0.446909,311,0.663990
LeftCaudate,10195_20190321,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-log_scale-none_tat2,-0.104709,311,0.179410
LeftCaudate,10195_20190321,_ref-wholebrain_time-mean_vol-median_censor-fd0.3_calc-novol_scale-none_tat2,740.178763,311,124.400086
