roi,subj,input,nzmean,nzvoxels,nzsigma
ventricles,11549_20160606,r2primeMap_MNI152_T1_2009c_al,2.328984,3365,2.997219
ventricles,11550_20160617,r2primeMap_MNI152_T1_2009c_al,5.327228,4434,5.441081
ventricles,11550_20171214,r2primeMap_MNI152_T1_2009c_al,4.997222,4040,4.795445
ventricles,11551_20160615,r2primeMap_MNI152_T1_2009c_al,7.189720,5881,4.942422
ventricles,11551_20180111,r2primeMap_MNI152_T1_2009c_al,6.470847,6624,4.703038
ventricles,11554_20160629,r2primeMap_MNI152_T1_2009c_al,5.501728,4542,4.912772
ventricles,11555_20160701,r2primeMap_MNI152_T1_2009c_al,4.007113,4749,3.446347
ventricles,11557_20160709,r2primeMap_MNI152_T1_2009c_al,4.248507,4487,3.667596
ventricles,11558_20160708,r2primeMap_MNI152_T1_2009c_al,10.585161,6272,5.947375
ventricles,11560_20160712,r2primeMap_MNI152_T1_2009c_al,4.137004,4507,3.266757
ventricles,11561_20160715,r2primeMap_MNI152_T1_2009c_al,6.644262,4844,4.896946
ventricles,11562_20160725,r2primeMap_MNI152_T1_2009c_al,3.189656,3739,3.166109
ventricles,11564_20160720,r2primeMap_MNI152_T1_2009c_al,8.057767,7022,4.649754
ventricles,11565_20160726,r2primeMap_MNI152_T1_2009c_al,2.537364,4136,2.499010
ventricles,11568_20160810,r2primeMap_MNI152_T1_2009c_al,6.830666,6876,3.807442
ventricles,11570_20160812,r2primeMap_MNI152_T1_2009c_al,5.888980,6303,3.396609
ventricles,11571_20160826,r2primeMap_MNI152_T1_2009c_al,8.024843,6157,4.557306
ventricles,11573_20160902,r2primeMap_MNI152_T1_2009c_al,5.175089,5706,3.564340
ventricles,11574_20160901,r2primeMap_MNI152_T1_2009c_al,3.587247,3837,3.459535
ventricles,11575_20160908,r2primeMap_MNI152_T1_2009c_al,3.335580,3836,3.356562
ventricles,11576_20160930,r2primeMap_MNI152_T1_2009c_al,10.803917,6969,7.011348
ventricles,11577_20160910,r2primeMap_MNI152_T1_2009c_al,9.797454,7314,4.771831
ventricles,11579_20161014,r2primeMap_MNI152_T1_2009c_al,7.327883,6584,5.000412
ventricles,11581_20161115,r2primeMap_MNI152_T1_2009c_al,5.271056,4534,4.328286
ventricles,11582_20161205,r2primeMap_MNI152_T1_2009c_al,3.430419,4393,3.413107
ventricles,11589_20170203,r2primeMap_MNI152_T1_2009c_al,2.757004,3467,3.555208
ventricles,11592_20170126,r2primeMap_MNI152_T1_2009c_al,6.034029,6405,3.537447
ventricles,11595_20170124,r2primeMap_MNI152_T1_2009c_al,4.714622,5288,3.060263
ventricles,11599_20170309,r2primeMap_MNI152_T1_2009c_al,9.032336,7054,3.952444
ventricles,11600_20170220,r2primeMap_MNI152_T1_2009c_al,8.370468,6438,5.058707
ventricles,11603_20170325,r2primeMap_MNI152_T1_2009c_al,5.209659,5491,2.895831
ventricles,11605_20170410,r2primeMap_MNI152_T1_2009c_al,10.280002,6643,5.423418
ventricles,11609_20170506,r2primeMap_MNI152_T1_2009c_al,5.868829,5581,4.267701
ventricles,11611_20170517,r2primeMap_MNI152_T1_2009c_al,6.515073,5571,4.518333
ventricles,11616_20170807,r2primeMap_MNI152_T1_2009c_al,3.954867,4408,2.856239
CC,10843_20151109,r2primeMap_MNI152_T1_2009c_al,13.060796,13411,4.229227
CC,10843_20170605,r2primeMap_MNI152_T1_2009c_al,12.827397,13411,4.175767
CC,10880_20160607,r2primeMap_MNI152_T1_2009c_al,12.562685,13402,6.979850
CC,10880_20171228,r2primeMap_MNI152_T1_2009c_al,13.612753,13408,5.187633
CC,10985_20160328,r2primeMap_MNI152_T1_2009c_al,13.747902,13406,5.240349
CC,10997_20160206,r2primeMap_MNI152_T1_2009c_al,12.719334,13401,4.401853
CC,10997_20170807,r2primeMap_MNI152_T1_2009c_al,12.794921,13405,3.491202
CC,11048_20160526,r2primeMap_MNI152_T1_2009c_al,13.137368,13410,3.662954
CC,11048_20171215,r2primeMap_MNI152_T1_2009c_al,14.314298,13404,3.917281
CC,11228_20160212,r2primeMap_MNI152_T1_2009c_al,16.533739,13350,6.255769
CC,11228_20170803,r2primeMap_MNI152_T1_2009c_al,14.195278,13352,4.519682
CC,11248_20160211,r2primeMap_MNI152_T1_2009c_al,13.568635,13409,4.354148
CC,11248_20170803,r2primeMap_MNI152_T1_2009c_al,13.441000,13408,4.179389
CC,11270_20160729,r2primeMap_MNI152_T1_2009c_al,14.552688,13378,4.489767
CC,11272_20151209,r2primeMap_MNI152_T1_2009c_al,13.507478,13367,4.313490
CC,11275_20160519,r2primeMap_MNI152_T1_2009c_al,13.237307,13411,3.089598
CC,11275_20171116,r2primeMap_MNI152_T1_2009c_al,12.791538,13408,3.280776
CC,11289_20151105,r2primeMap_MNI152_T1_2009c_al,13.568885,13408,3.090542
CC,11289_20170427,r2primeMap_MNI152_T1_2009c_al,12.391585,13409,4.106585
CC,11299_20151210,r2primeMap_MNI152_T1_2009c_al,14.318204,13395,6.084623
CC,11299_20171103,r2primeMap_MNI152_T1_2009c_al,16.505991,13398,6.426752
CC,11314_20170303,r2primeMap_MNI152_T1_2009c_al,13.119951,13354,3.518660
CC,11338_20160416,r2primeMap_MNI152_T1_2009c_al,13.015796,13394,5.074397
CC,11338_20171118,r2primeMap_MNI152_T1_2009c_al,14.126438,13406,4.032560
CC,11346_20160201,r2primeMap_MNI152_T1_2009c_al,11.355136,13403,3.208513
CC,11370_20160311,r2primeMap_MNI152_T1_2009c_al,14.069815,13400,6.076811
CC,11389_20160104,r2primeMap_MNI152_T1_2009c_al,12.839200,13395,4.345972
CC,11389_20170626,r2primeMap_MNI152_T1_2009c_al,13.148802,13380,4.447240
CC,11393_20160407,r2primeMap_MNI152_T1_2009c_al,14.855702,13410,4.305572
CC,11393_20170914,r2primeMap_MNI152_T1_2009c_al,14.516104,13410,3.501918
CC,11394_20151014,r2primeMap_MNI152_T1_2009c_al,14.474413,13392,6.569500
CC,11394_20170505,r2primeMap_MNI152_T1_2009c_al,14.452536,13399,5.054866
CC,11395_20160305,r2primeMap_MNI152_T1_2009c_al,13.568592,13401,5.021091
CC,11395_20171021,r2primeMap_MNI152_T1_2009c_al,13.368568,13399,4.037432
CC,11403_20151106,r2primeMap_MNI152_T1_2009c_al,13.818326,13342,4.783759
CC,11403_20170421,r2primeMap_MNI152_T1_2009c_al,13.619419,13369,4.807461
CC,11405_20151211,r2primeMap_MNI152_T1_2009c_al,13.956372,13400,3.514626
CC,11405_20170622,r2primeMap_MNI152_T1_2009c_al,12.474791,13411,3.845729
CC,11409_20151016,r2primeMap_MNI152_T1_2009c_al,15.380042,13387,4.466611
CC,11409_20170525,r2primeMap_MNI152_T1_2009c_al,13.311155,13396,4.333015
CC,11411_20160115,r2primeMap_MNI152_T1_2009c_al,12.045933,13391,4.042326
CC,11411_20170818,r2primeMap_MNI152_T1_2009c_al,11.819519,13393,3.267114
CC,11414_20151107,r2primeMap_MNI152_T1_2009c_al,12.109533,13400,4.009956
CC,11414_20170603,r2primeMap_MNI152_T1_2009c_al,11.617043,13360,3.243526
CC,11415_20160108,r2primeMap_MNI152_T1_2009c_al,12.735650,13411,4.052865
CC,11415_20170622,r2primeMap_MNI152_T1_2009c_al,13.087006,13411,3.568884
CC,11419_20151203,r2primeMap_MNI152_T1_2009c_al,13.873681,13396,3.750455
CC,11419_20170526,r2primeMap_MNI152_T1_2009c_al,13.586539,13404,3.112696
CC,11421_20151104,r2primeMap_MNI152_T1_2009c_al,15.095055,13390,6.113136
CC,11421_20170428,r2primeMap_MNI152_T1_2009c_al,14.642214,13378,4.629827
CC,11425_20160215,r2primeMap_MNI152_T1_2009c_al,13.087443,13398,4.684580
CC,11425_20171127,r2primeMap_MNI152_T1_2009c_al,12.373638,13405,3.888346
CC,11426_20151112,r2primeMap_MNI152_T1_2009c_al,13.392675,13385,5.237103
CC,11426_20170504,r2primeMap_MNI152_T1_2009c_al,15.940669,13396,4.865191
CC,11429_20150918,r2primeMap_MNI152_T1_2009c_al,13.409587,13411,4.649701
CC,11429_20170406,r2primeMap_MNI152_T1_2009c_al,13.932039,13411,4.947429
CC,11431_20151009,r2primeMap_MNI152_T1_2009c_al,23.371824,13358,7.832826
CC,11431_20170323,r2primeMap_MNI152_T1_2009c_al,14.488714,13368,7.008109
CC,11434_20160601,r2primeMap_MNI152_T1_2009c_al,13.259943,13376,3.525671
CC,11439_20151008,r2primeMap_MNI152_T1_2009c_al,13.857605,13402,3.825081
